club,city,versions
Finn Harps,Ballybofey,17|18|20
Fiorentina,Florence,15|16|17|18|19|20
Fleetwood Town,Fleetwood,15|16|17|18|19|20
Fluminense,Rio de Janeiro,16|17|18|19|20
Foggia,Foggia,18|19
Football Bourg En Bresse Peronnas 01,Bourg-en-Bresse,16|17|18
Forest Green Rovers,Nailsworth,18|19|20
Fortaleza,Fortaleza,20
Fortaleza CEIF,Bogotá,15|17
Fortuna Düsseldorf,Düsseldorf,15|16|17|18|19|20
Fortuna Sittard,Sittard,19|20
Frosinone,Frosinone,15|16|17|18|19|20
Fulham,London,15|16|17|18|19|20
GD Chaves,Chaves,17|18
GFC Ajaccio,Ajaccio,15|16|17|18|19
GIF Sundsvall,Sundsvall,17|18|19|20
GKS Bełchatów,Bełchatów,15
Galatasaray SK,Istanbul,15|16|17|18|19|20
Galway United,Galway,18
Gamba Osaka,Suita,17|18|19|20
Gangwon FC,Chuncheon,18|19|20
Gaz Metan Mediaş,Mediaş,20
Gaziantepspor,Gaziantep,15|16|17
Gazişehir Gaziantep F.K.,Gaziantep,20
Gefle IF,Gävle,15|16|17
Genoa,Genoa,15|16|17|18|19|20
Gençlerbirliği SK,Ankara,15|16|17|18|20
Getafe CF,Getafe,15|16|17|18|19|20
Gil Vicente FC,Barcelos,15|20
Gillingham,Gillingham,15|16|17|18|19|20
Gimnasia y Esgrima La Plata,La Plata,15|16|17|18|19|20
Gimnàstic de Tarragona,Tarragona,16|17|18|19
Girona FC,Girona,15|16|17|18|19|20
Go Ahead Eagles,Deventer,15|17
Godoy Cruz,Mendoza,15|16|17|18|19|20
Goiás,Goiânia,17|20
Granada CF,Granada,15|16|17|18|19|20
Grasshopper Club Zürich,Zürich,15|16|17|18|19
Greece,Athens,15|16|17|18|19
Grenoble Foot 38,Grenoble,19|20
Grimsby Town,Cleethorpes,17|18|19|20
Grêmio,Porto Alegre,17|18|19|20
Guadalajara,Guadalajara,15|16|17|18|19|20
Guangzhou Evergrande Taobao FC,Guangzhou,19|20
Guangzhou R&F FC,Guangzhou,19|20
Guizhou Hengfeng FC,Guiyang,19
GwangJu FC,Gwangju,16|17|18
Gyeongnam FC,Changwon,15|19|20
Górnik Zabrze,Zabrze,15|16|18|19|20
Górnik Łęczna,Łęczna,15|16|17
Göztepe SK,İzmir,18|19|20
HJK Helsinki,Helsinki,17|18|19|20
Hajer,Al-Hasa,15|16
Hallescher FC,Halle,18|19|20
Halmstads BK,Halmstad,18
Hamburger SV,Hamburg,15|16|17|18|19|20
Hamilton Academical FC,Hamilton,15|16|17|18|19|20
Hammarby IF,Stockholm,16|17|18|19|20
Hannover 96,Hannover,15|16|17|18|19|20
Hartlepool United,Hartlepool,15|16|17
Heart of Midlothian,Edinburgh,16|17|18|19|20
Hebei China Fortune FC,Langfang,19|20
Hellas Verona,Verona,15|16|17|18|19|20
Helsingborgs IF,Helsingborg,15|16|17|20
Henan Jianye FC,Zhengzhou,19|20
Heracles Almelo,Almelo,15|16|17|18|19|20
Hertha BSC,Berlin,15|16|17|18|19|20
Hibernian,Edinburgh,18|19|20
Hobro IK,Hobro,15|16|18|19|20
Hokkaido Consadole Sapporo,Sapporo,18|19|20
Holstein Kiel,Kiel,18|19|20
Houston Dynamo,Houston,15|16|17|18|19|20
Huddersfield Town,Huddersfield,15|16|17|18|19|20
Hull City,Kingston upon Hull,15|16|17|18|19|20
Hungary,Budapest,15|16|17|18|19|20
IF Brommapojkarna,Stockholm,15|19
IF Elfsborg,Borås,15|16|17|18|19|20
IFK Göteborg,Göteborg,15|16|17|18|19|20
IFK Norrköping,Norrköping,15|16|17|18|19|20
IK Sirius,Uppsala,18|19|20
IK Start,Kristiansand,15|16|17|19
Iceland,Reykjavík,18|19|20
Incheon United FC,Incheon,15|16|17|18|19|20
Independiente,Avellaneda,15|16|17|18|19|20
Independiente Medellín,Medellín,15|16|17|18|19|20
Independiente Santa Fe,Bogotá,15|16|17|18|19|20
India,New Delhi,15|16|17|18|19|20
Inter,Milan,15|16|17|18|19|20
Internacional,Porto Alegre,17|19|20
Inverness Caledonian Thistle,Inverness,15|16|17
Ipswich Town,Ipswich,15|16|17|18|19|20
Itagüí Leones FC,Itagüí,19
Italy,Rome,17
Jagiellonia Białystok,Białystok,15|16|17|18|19|20
Jaguares de Chiapas,Tuxtla Gutiérrez,15|16|17
Jaguares de Córdoba,Montería,16|17|18|19|20
Jeju United FC,Seogwipo,15|16|17|18|19|20
Jeonbuk Hyundai Motors,Jeonju,15|16|17|18|19|20
Jeonnam Dragons,Gwangyang,15|16|17|18|19
Jiangsu Suning FC,Nanjing,19|20
Joinville,Joinville,17
Junior FC,Barranquilla,15|16|17|18|19|20
Juventus,Turin,15|16|17|18|19|20
Jönköpings Södra IF,Jönköping,17|18
Júbilo Iwata,Iwata,17|18|19|20
KAA Gent,Ghent,15|16|17|18|19|20
KAS Eupen,Eupen,17|18|19|20
KFC Uerdingen 05,Krefeld,19|20
KRC Genk,Genk,15|16|17|18|19|20
KSV Cercle Brugge,Bruges,15|19|20
KV Kortrijk,Kortrijk,15|16|17|18|19|20
KV Mechelen,Mechelen,15|16|17|18|20
KV Oostende,Ostend,15|16|17|18|19|20
KVC Westerlo,Westerlo,15|17
Kaizer Chiefs,Johannesburg,15|16|17|18|19|20
Kalmar FF,Kalmar,15|16|17|18|19|20
Kardemir Karabükspor,Karabük,15|17|18
Karlsruher SC,Karlsruhe,15|16|17|18|19|20
Kashima Antlers,Kashima,17|18|19|20
Kashiwa Reysol,Kashiwa,17|18|19
Kasimpaşa SK,Istanbul,15|16|17|18|19|20
Kawasaki Frontale,Kawasaki,17|18|19|20
Kayseri Erciyesspor,Kayseri,15
Kayserispor,Kayseri,16|17|18|19|20
Kilmarnock,Kilmarnock,15|16|17|18|19|20
Korea Republic,Seoul,15
Korona Kielce,Kielce,15|16|17|18|19|20
Kristiansund BK,Kristiansund,18|19|20
Krylya Sovetov Samara,Samara,16|17
Kuban Krasnodar,Krasnodar,15|16
LA Galaxy,Los Angeles,15|16|17|18|19|20
LASK Linz,Linz,18|19|20
LKS Lodz,Łódź,20
LOSC Lille,Lille,15|16|17|18|19|20
La Berrichonne de Châteauroux,Châteauroux,15|18|19|20
La Equidad,Bogotá,15|16|17|18|19|20
Latina,Latina,15|16|17
Lazio,Rome,15|16|17|18|19|20
Le Havre AC,Le Havre,15|16|17|18|19|20
Le Mans FC,Le Mans,20
Lecce,Lecce,19|20
Lech Poznań,Poznań,15|16|17|18|19|20
Lechia Gdańsk,Gdańsk,15|16|17|18|19|20
Leeds United,Leeds,15|16|17|18|19|20
Legia Warszawa,Warsaw,15|16|17|18|19|20
Leicester City,Leicester,15|16|17|18|19|20
Leones Negros de la UdeG,Guadalajara,15
Levante UD,Valencia,15|16|17|18|19|20
Leyton Orient,London,15|16|17|20
Lierse SK,Lier,15
Lillestrøm SK,Lillestrøm,15|16|17|18|19|20
Limerick FC,Limerick,15|16|18|19
Lincoln City,Lincoln,18|19|20
Liverpool,Liverpool,15|16|17|18|19|20
Livingston FC,Livingston,19|20
Livorno,Livorno,15|16|19|20
Lobos BUAP,Puebla,18|19
Lokomotiv Moscow,Moscow,15|16|17|18|19|20
Lorca FC,Lorca,18
Los Angeles FC,Los Angeles,19|20
Luton Town,Luton,15|16|17|18|19|20
Lyngby BK,Lyngby,17|18|20
MKE Ankaragücü,Ankara,19|20
MSV Duisburg,Duisburg,16|18|19|20
Macclesfield Town,Macclesfield,19|20
Malmö FF,Malmö,15|16|17|18|19|20
Manchester City,Manchester,15|16|17|18|19|20
Manchester United,Manchester,15|16|17|18|19|20
Mansfield Town,Mansfield,15|16|17|18|19|20
Matsumoto Yamaga,Matsumoto,20
Medipol Başakşehir FK,Istanbul,15|16|17|18|19|20
Melbourne City FC,Melbourne,15|16|17|18|19|20
Melbourne Victory,Melbourne,15|16|17|18|19|20
Mersin İdman Yurdu,Mersin,15|16
Mexico,Mexico City,20
Middlesbrough,Middlesbrough,15|16|17|18|19|20
Miedź Legnica,Legnica,19
Milan,Milan,15|16|17|18|19|20
Millonarios FC,Bogotá,15|16|17|18|19|20
Millwall,London,15|16|17|18|19|20
Milton Keynes Dons,Milton Keynes,15|16|17|18|19|20
Minnesota United FC,Saint Paul,18|19|20
Mjällby AIF,Hällevik,15
Mjøndalen IF,Mjøndalen,16|20
Modena,Modena,15|16
Molde FK,Molde,15|16|17|18|19|20
